CarParkID,latitude,longitude
B96,1.3249663,103.9329516
B97,1.3361558,103.9235081
B98,1.3360794,103.9219169
B99M,1.3274881,103.9227613
CAM,1.3018211,103.7982057
CC1,1.3266213,103.9229114
CC10,1.3286857,103.9255768
CC11,1.3290959,103.9216340
CC12,1.3267661,103.9249255
CC4,1.3257615,103.9213875
CC5,1.3248225,103.9234007
CC6,1.3235138,103.9235646
CC7,1.3252462,103.9256873
CC8,1.3268955,103.9194412
CC9,1.3277201,103.9259951
CDM,1.3016364,103.7967914
CKM1,1.3835964,103.7408248
CKM2,1.3983848,103.7467449
CKM3,1.3811874,103.7366415
CKM4,1.3786379,103.7379297
CKM5,1.3793103,103.7356957
CKM6,1.3775354,103.7357476
CKM7,1.3759736,103.7370709
CKM8,1.3750500,103.7383621
CKM9,1.3773652,103.7432966
CKT1,1.3803151,103.7385844
CKT2,1.3856136,103.7433363
CK1,1.3774743,103.7539665
CK10,1.3805048,103.7454349
CK11,1.3787338,103.7418689
CK12,1.3812861,103.7418157
CK13,1.3829167,103.7420406
CK14,1.3801473,103.7425446
CK15,1.3784262,103.7409120
CK16,1.3796289,103.7392211
CK17,1.3820730,103.7406910
CK18,1.3809984,103.7506231
CK19,1.3804828,103.7513306
CK2,1.3792528,103.7513717
CK20,1.3833830,103.7401337
CK22,1.3838439,103.7459430
CK23,1.3841444,103.7415069
CK24,1.3833262,103.7433099
CK25,1.3822900,103.7437438
CK28,1.3800848,103.7441717
CK29,1.3797457,103.7441108
CK3,1.3786059,103.7500625
CK3A,1.3794925,103.7499803
C20,1.3133478,103.7652617
CK30,1.3790289,103.7453811
CK31,1.3787502,103.7449384
CK32,1.3773948,103.7439627
CK33,1.3886977,103.7429514
CK34,1.3885772,103.7410970
CK35,1.3903270,103.7423973
CK36,1.3922859,103.7410873
CK37,1.3940530,103.7422298
CK38,1.3930854,103.7447911
CK39,1.3961473,103.7442778
CK4,1.3801437,103.7516624
CK40,1.3953808,103.7461474
CK41,1.3909574,103.7464570
CK42,1.3927690,103.7467304
CK44,1.3925888,103.7491367
CK45,1.3945179,103.7499668
CK46,1.3952663,103.7495321
CK47,1.3952395,103.7476994
CK48,1.3974022,103.7451677
CK49,1.3987826,103.7435231
CK50,1.4004286,103.7437464
CK51,1.3996440,103.7475905
CK52,1.4006590,103.7502364
CK53,1.4015544,103.7501863
CK54,1.3981368,103.7491167
CK55,1.3971123,103.7485090
CK56,1.4011960,103.7466707
CK57,1.4022394,103.7483237
CK58,1.4018800,103.7448791
CK59,1.3768119,103.7420381
CK6,1.3807327,103.7531056
CK6A,1.3810354,103.7531369
CK60,1.4042944,103.7458738
CK61,1.4040894,103.7489176
CK62,1.4038395,103.7498899
CK63,1.4028635,103.7508843
CK64,1.3997628,103.7513030
CK65,1.3920195,103.7440359
CK66,1.3940206,103.7455591
CK7,1.3802823,103.7519605
CK70,1.3769333,103.7381465
CK71,1.3766878,103.7386808
P34L,1.4045254,103.9074225
CK72,1.3755588,103.7409305
CK73,1.3752829,103.7434128
CK74,1.3732972,103.7432385
CK75,1.3749824,103.7445342
CK76,1.3740405,103.7462067
CK77,1.3765572,103.7467137
CK78,1.3769877,103.7493994
CK79,1.3751237,103.7497119
CK8,1.3820861,103.7471057
CK8A,1.3812186,103.7489786
CK9,1.3814960,103.7449178
CK9A,1.3799886,103.7475033
CLM,1.2924830,103.8144006
CLNA,1.3224147,103.7630537
CLRG,1.3190494,103.7639857
CLTR,1.3193600,103.7651328
CM1,1.2744581,103.8392166
CR1,1.3032708,103.8633077
CR1A,1.3036984,103.8649585
CR1B,1.3040361,103.8653587
CR2,1.3046835,103.8656582
CR29,1.3057838,103.8567933
CR3,1.3050687,103.8643248
CR30,1.3076002,103.8549410
CR31,1.3062497,103.8546982
CR7,1.3055340,103.8623393
CSM,1.2874381,103.8411652
CTM1,1.3147447,103.7640729
CVBK,1.3165164,103.8610276
CV1,1.3883292,103.9881780
CV2,1.3899025,103.9879889
CV3,1.3899831,103.9864869
CY,1.3006260,103.8536649
C10,1.3184632,103.7689629
C11,1.3148008,103.7661308
C12,1.3217898,103.7661061
C13M,1.3205634,103.7661798
C14M,1.3173924,103.7651855
C15M,1.3162542,103.7640464
C16,1.3143139,103.7624816
C17,1.3138577,103.7638966
C18,1.3122717,103.7633744
C18A,1.3117561,103.7641870
C19M,1.3133630,103.7638546
C2M,1.3109282,103.7678806
C20M,1.3115043,103.7656508
C21L,1.3110149,103.7670417
C21M,1.3116612,103.7665267
C22M,1.3216503,103.7703399
C24,1.3241976,103.7712867
C25,1.3223512,103.7689889
C26,1.3225878,103.7699291
C27,1.3222423,103.7705128
C28M,1.3223617,103.7620715
C29,1.3126146,103.7592318
C29A,1.3113609,103.7591849
C3M,1.3098136,103.7701310
C3ML,1.3103927,103.7690923
C30,1.3114581,103.7614211
C31,1.3105632,103.7605991
C33,1.3045594,103.7668576
C34,1.3070103,103.7609363
C35,1.3056123,103.7614392
C36,1.3053097,103.7635574
C37,1.3035383,103.7639717
C38,1.3028067,103.7625268
C4M,1.3114801,103.7705025
C40L,1.3007909,103.7638889
C40M,1.2997091,103.7639106
C5,1.3131027,103.7695739
C6,1.3144881,103.7676912
C7,1.3148839,103.7707550
C8,1.3166747,103.7686311
C9,1.3176492,103.7703123
DRM1,1.2805132,103.8115435
DRM2,1.2812994,103.8078531
DRM3,1.2808384,103.8098679
DRM4,1.2808707,103.8123659
DRM5,1.2813319,103.8094774
DRS,1.2804698,103.8129928
DSRL,1.2973346,103.8051482
DSR1,1.2984560,103.8035376
DSR2,1.2978947,103.8053310
DUXM,1.2769774,103.8410541
DWSO,1.2964677,103.8069433
DWSP,1.2960658,103.8119719
DWST,1.2951867,103.8119897
DWSV,1.2953068,103.8096169
DWVT,1.2942254,103.8101445
ECM,1.3199976,103.9016271
ECML,1.3212491,103.9015374
ECM2,1.3198158,103.9006497
EC2,1.3226157,103.9044421
EC3,1.3211567,103.9044758
EC4,1.3205165,103.9026924
EC7,1.3177837,103.9016257
EC8,1.3192269,103.9032081
EI3,1.3188465,103.8983797
EPL,1.2771636,103.8399127
EPM,1.2761844,103.8389082
FRM,1.3087586,103.8613647
FR2C,1.3182784,103.8077126
FR3M,1.3166948,103.8062106
FR4M,1.3168757,103.8075345
GBM,1.3227724,103.8686337
GEM,1.3200368,103.8876027
GEML,1.3199377,103.8878498
GE1A,1.3198875,103.8834378
GE1B,1.3212054,103.8869925
GE1C,1.3197588,103.8862991
GE1F,1.3192099,103.8842356
GE1G,1.3209624,103.8863088
GE2,1.3179454,103.8848394
GE3,1.3175010,103.8873633
GE5,1.3165498,103.8875653
GHCL,1.3472949,103.8886512
GHCM,1.3463250,103.8900497
GHOM,1.3485328,103.8891391
GMLM,1.3087283,103.7858206
GM1A,1.3126136,103.7869257
GM1M,1.3093544,103.7843689
GM2,1.3116014,103.7881601
GM2A,1.3108710,103.7872643
GM3,1.3111559,103.7888531
GM5,1.3103819,103.7885108
GM6A,1.3094925,103.7887229
GM6B,1.3096111,103.7876523
GSM,1.3172067,103.8983401
GSML,1.3170312,103.8984885
G20L,1.3588754,103.7293900
HCM,1.2890460,103.8215599
HE1,1.2892221,103.8223554
HE12,1.2882100,103.8186506
HE17,1.2864231,103.8203888
HE19,1.2905406,103.8209851
HE24,1.2846681,103.8209853
HE3,1.2847190,103.8217117
HE4,1.2834709,103.8227829
HE9,1.2837074,103.8211938
HG1,1.3621655,103.8941797
HG1A,1.3786638,103.9017851
HG1B,1.3757208,103.9006892
HG1C,1.3778674,103.9038619
HG1D,1.3637434,103.8941133
HG1E,1.3626513,103.8947156
HG1F,1.3581132,103.8871054
HG10,1.3545477,103.8904836
HG11,1.3659591,103.8949804
HG12,1.3666951,103.8981610
HG13,1.3678352,103.8985638
HG14,1.3691978,103.8964277
HG15,1.3589608,103.8867122
HG16,1.3597265,103.8880915
HG17,1.3576755,103.8879577
HG18,1.3580563,103.8889504
HG19,1.3528454,103.8838023
HG2,1.3629163,103.8920255
HG2A,1.3763723,103.9007208
HG2B,1.3755299,103.8824558
HG2C,1.3701078,103.8972276
HG2D,1.3794071,103.8871818
HG20,1.3502835,103.8864275
HG22,1.3524735,103.8804324
HG23,1.3575126,103.8915463
HG24,1.3597981,103.8916917
HG29,1.3723423,103.8990805
HG3B,1.3842997,103.8816245
HG3D,1.3842111,103.8796736
HG3E,1.3851207,103.8836581
HG3L,1.3862097,103.8816033
HG30,1.3732591,103.8969659
HG31,1.3754155,103.8965025
HG32,1.3713791,103.8860602
HG33,1.3695678,103.8843751
HG34,1.3699425,103.8815031
HG35,1.3664897,103.8889637
HG36,1.3661185,103.8876039
HG37,1.3730086,103.8873707
HG38,1.3733934,103.8902947
HG39,1.3699434,103.8859678
HG4,1.3642304,103.8909834
HG41,1.3712761,103.8793501
HG42,1.3741610,103.8834179
HG43,1.3721131,103.8843042
HG44,1.3736488,103.8863297
HG45,1.3759038,103.8861300
HG46,1.3758578,103.8869630
HG47,1.3711841,103.8939622
HG48,1.3754252,103.8940937
HG49,1.3787933,103.8947593
HG5,1.3653553,103.8923108
HG50,1.3773318,103.8913337
HG51,1.3786510,103.8901131
HG52,1.3802826,103.8897556
HG53,1.3708718,103.8907031
HG54,1.3566444,103.8843547
HG55,1.3726834,103.8932122
HG56,1.3712033,103.8901223
HG60,1.3790044,103.8911938
HG61,1.3796540,103.8891544
HG62,1.3808270,103.8885596
HG64,1.3743413,103.8862976
HG67,1.3742927,103.8958176
HG68,1.3699245,103.8918395
HG69,1.3699807,103.8929698
HG7,1.3536530,103.8878030
HG70,1.3789736,103.8885084
HG71,1.3777027,103.8863739
HG73,1.3783045,103.8835515
HG74,1.3508202,103.8880705
HG75,1.3505916,103.8889979
HG76,1.3517581,103.8794740
HG77,1.3754542,103.8842441
HG78,1.3767756,103.8832659
HG79,1.3760481,103.8804913
HG80,1.3741901,103.8790675
HG86,1.3746614,103.8805280
HG87,1.3759209,103.8778632
HG88,1.3760428,103.8885897
HG89,1.3778424,103.8940290
HG9,1.3589105,103.8845199
HG9T,1.3586484,103.8852387
HG90,1.3778814,103.8778435
HG91,1.3780175,103.8802201
HG92,1.3622991,103.8900318
HG93,1.3799782,103.8801175
HG94,1.3815610,103.8806478
HG95,1.3539779,103.8901002
HG96,1.3526813,103.8897691
HG97,1.3712221,103.8947574
HG98,1.3799741,103.8776986
